time,current_response_time_percentile_50,current_response_time_percentile_95,current_response_time_average,current_max_response_time,current_min_response_time,current_fail_per_sec,fail_ratio,total_rps,user_count,avg_response_time,current_rps,max_response_time,median_response_time,min_response_time,num_failures,num_requests,custom_cpu_loadgenerator,custom_cpu_redis-cart,custom_cpu_frontend,custom_cpu_checkoutservice,custom_cpu_paymentservice,custom_cpu_currencyservice,custom_cpu_productcatalogservice,custom_cpu_recommendationservice,custom_cpu_shippingservice,custom_cpu_emailservice,custom_cpu_cartservice,custom_cpu_adservice,custom_cpu_coredns,custom_cpu_metrics-server,custom_cpu_local-path-provisioner,custom_cpu_prometheus-grafana,custom_cpu_prometheus-kube-prometheus-operator,custom_cpu_prometheus-kube-state-metrics,custom_monitored_count_coredns,custom_monitored_count_metrics-server,custom_monitored_count_local-path-provisioner,custom_monitored_count_emailservice,custom_monitored_count_paymentservice,custom_monitored_count_loadgenerator,custom_monitored_count_redis-cart,custom_monitored_count_shippingservice,custom_monitored_count_checkoutservice,custom_monitored_count_prometheus-grafana,custom_monitored_count_adservice,custom_monitored_count_prometheus-kube-prometheus-operator,custom_monitored_count_prometheus-kube-state-metrics,custom_monitored_count_cartservice,custom_monitored_count_recommendationservice,custom_monitored_count_frontend,custom_monitored_count_currencyservice,custom_monitored_count_productcatalogservice,custom_kubernetes_coredns_ordered,custom_kubernetes_coredns_ready,custom_kubernetes_metrics-server_ordered,custom_kubernetes_metrics-server_ready,custom_kubernetes_local-path-provisioner_ordered,custom_kubernetes_local-path-provisioner_ready,custom_kubernetes_emailservice_ordered,custom_kubernetes_emailservice_ready,custom_kubernetes_paymentservice_ordered,custom_kubernetes_paymentservice_ready,custom_kubernetes_loadgenerator_ordered,custom_kubernetes_loadgenerator_ready,custom_kubernetes_redis-cart_ordered,custom_kubernetes_redis-cart_ready,custom_kubernetes_shippingservice_ordered,custom_kubernetes_shippingservice_ready,custom_kubernetes_checkoutservice_ordered,custom_kubernetes_checkoutservice_ready,custom_kubernetes_prometheus-grafana_ordered,custom_kubernetes_prometheus-grafana_ready,custom_kubernetes_adservice_ordered,custom_kubernetes_adservice_ready,custom_kubernetes_prometheus-kube-prometheus-operator_ordered,custom_kubernetes_prometheus-kube-prometheus-operator_ready,custom_kubernetes_prometheus-kube-state-metrics_ordered,custom_kubernetes_prometheus-kube-state-metrics_ready,custom_kubernetes_cartservice_ordered,custom_kubernetes_cartservice_ready,custom_kubernetes_recommendationservice_ordered,custom_kubernetes_recommendationservice_ready,custom_kubernetes_frontend_ordered,custom_kubernetes_frontend_ready,custom_kubernetes_productcatalogservice_ordered,custom_kubernetes_productcatalogservice_ready,custom_kubernetes_currencyservice_ordered,custom_kubernetes_currencyservice_ready,elapsed,elapsed_min
1702803221.8666294,93.0,270.0,117,360,21,0.0,0.0,11.2,50,455.8528578680016,11.2,2608.0,110.0,18.0,0,401,"[141.63318233292242, 1702803220.686]","[22.286149585497512, 1702803220.686]","[126.16561190198233, 1702803220.686]","[18.86233812911342, 1702803220.686]","[12.045584221809696, 1702803220.686]","[127.9545226684068, 1702803220.686]","[63.53721646185095, 1702803220.686]","[78.08885840984364, 1702803220.686]","[31.793520509039627, 1702803220.686]","[29.96000007613652, 1702803220.686]","[76.55606643373991, 1702803220.686]","[28.628409748134214, 1702803220.686]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,1,21.364144802093506,0.35606908003489174
1702803222.9489672,93.0,270.0,117,360,21,0.0,0.0,11.2,50,455.8528578680016,11.2,2608.0,110.0,18.0,0,401,"[147.0368389581787, 1702803222.653]","[17.592356153779928, 1702803222.653]","[246.2192032221129, 1702803222.653]","[22.380951946642472, 1702803222.653]","[16.9245191703387, 1702803222.653]","[145.22653029643635, 1702803222.653]","[109.3839962816418, 1702803222.653]","[88.73984607467739, 1702803222.653]","[31.385656938944585, 1702803222.653]","[27.97868440602957, 1702803222.653]","[142.10260734361512, 1702803222.653]","[37.72554201464428, 1702803222.653]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,1,22.44648265838623,0.3741080443064372
1702803225.4957001,100.0,350.0,141,500,25,0.0,0.0,10.7,50,429.5527916780041,10.7,2608.0,100.0,18.0,0,438,"[147.0368389581787, 1702803224.723]","[17.592356153779928, 1702803224.723]","[246.2192032221129, 1702803224.723]","[22.380951946642472, 1702803224.723]","[16.9245191703387, 1702803224.723]","[145.22653029643635, 1702803224.723]","[109.3839962816418, 1702803224.723]","[88.73984607467739, 1702803224.723]","[31.385656938944585, 1702803224.723]","[27.97868440602957, 1702803224.723]","[142.10260734361512, 1702803224.723]","[37.72554201464428, 1702803224.723]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,3,24.993215560913086,0.41655359268188474
1702803227.5423963,100.0,350.0,141,500,25,0.0,0.0,10.7,50,429.5527916780041,10.7,2608.0,100.0,18.0,0,438,"[147.0368389581787, 1702803226.689]","[17.592356153779928, 1702803226.689]","[246.2192032221129, 1702803226.689]","[22.380951946642472, 1702803226.689]","[16.9245191703387, 1702803226.689]","[145.22653029643635, 1702803226.689]","[109.3839962816418, 1702803226.689]","[88.73984607467739, 1702803226.689]","[31.385656938944585, 1702803226.689]","[27.97868440602957, 1702803226.689]","[142.10260734361512, 1702803226.689]","[37.72554201464428, 1702803226.689]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,3,27.03991174697876,0.4506651957829793
1702803229.4145482,84.0,390.0,140,560,25,0.0,0.0,10.5,50,408.38252441096563,10.5,2608.0,98.0,18.0,0,472,"[147.0368389581787, 1702803228.678]","[17.592356153779928, 1702803228.678]","[246.2192032221129, 1702803228.678]","[22.380951946642472, 1702803228.678]","[16.9245191703387, 1702803228.678]","[145.22653029643635, 1702803228.678]","[109.3839962816418, 1702803228.678]","[88.73984607467739, 1702803228.678]","[31.385656938944585, 1702803228.678]","[27.97868440602957, 1702803228.678]","[142.10260734361512, 1702803228.678]","[37.72554201464428, 1702803228.678]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,3,28.912063598632812,0.4818677266438802
1702803230.8716948,84.0,390.0,140,560,25,0.0,0.0,10.5,50,408.38252441096563,10.5,2608.0,98.0,18.0,0,472,"[147.0368389581787, 1702803230.616]","[17.592356153779928, 1702803230.616]","[246.2192032221129, 1702803230.616]","[22.380951946642472, 1702803230.616]","[16.9245191703387, 1702803230.616]","[145.22653029643635, 1702803230.616]","[109.3839962816418, 1702803230.616]","[88.73984607467739, 1702803230.616]","[31.385656938944585, 1702803230.616]","[27.97868440602957, 1702803230.616]","[142.10260734361512, 1702803230.616]","[37.72554201464428, 1702803230.616]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,3,30.369210243225098,0.5061535040537516
1702803232.945841,75.0,390.0,127,560,20,0.0,0.0,10.4,50,382.55514055175536,10.4,2608.0,93.0,18.0,0,511,"[152.01000237643598, 1702803232.689]","[14.841992615687648, 1702803232.689]","[209.37725964919375, 1702803232.689]","[29.20860491274783, 1702803232.689]","[16.261010614077676, 1702803232.689]","[142.8570272148619, 1702803232.689]","[109.3839962816418, 1702803232.689]","[92.34231385843857, 1702803232.689]","[31.93018349330122, 1702803232.689]","[26.79041602492124, 1702803232.689]","[130.18725655058438, 1702803232.689]","[37.72554201464428, 1702803232.689]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,3,3,32.44335651397705,0.5407226085662842
1702803234.8881257,75.0,390.0,127,560,20,0.0,0.0,10.4,50,382.55514055175536,10.4,2608.0,93.0,18.0,0,511,"[152.01000237643598, 1702803234.632]","[14.841992615687648, 1702803234.632]","[209.37725964919375, 1702803234.632]","[29.20860491274783, 1702803234.632]","[16.261010614077676, 1702803234.632]","[142.8570272148619, 1702803234.632]","[109.3839962816418, 1702803234.632]","[92.34231385843857, 1702803234.632]","[31.93018349330122, 1702803234.632]","[26.79041602492124, 1702803234.632]","[130.18725655058438, 1702803234.632]","[37.72554201464428, 1702803234.632]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,3,3,34.38564109802246,0.5730940183003743
1702803236.939821,57.0,180.0,68,250,20,0.0,0.0,9.6,50,356.88655624136766,9.6,2608.0,89.0,18.0,0,555,"[152.01000237643598, 1702803236.627]","[14.841992615687648, 1702803236.627]","[209.37725964919375, 1702803236.627]","[29.20860491274783, 1702803236.627]","[16.261010614077676, 1702803236.627]","[142.8570272148619, 1702803236.627]","[109.3839962816418, 1702803236.627]","[92.34231385843857, 1702803236.627]","[31.93018349330122, 1702803236.627]","[26.79041602492124, 1702803236.627]","[130.18725655058438, 1702803236.627]","[37.72554201464428, 1702803236.627]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,3,3,36.437336444854736,0.6072889407475789
1702803239.284474,57.0,180.0,68,250,20,0.0,0.0,9.6,50,356.88655624136766,9.6,2608.0,89.0,18.0,0,555,"[152.01000237643598, 1702803238.666]","[14.841992615687648, 1702803238.666]","[209.37725964919375, 1702803238.666]","[29.20860491274783, 1702803238.666]","[16.261010614077676, 1702803238.666]","[143.09994219461896, 1702803238.666]","[109.54124528803546, 1702803238.666]","[92.34231385843857, 1702803238.666]","[31.93018349330122, 1702803238.666]","[26.79041602492124, 1702803238.666]","[130.18725655058438, 1702803238.666]","[37.72554201464428, 1702803238.666]",,,,,,,,,,1,1,1,1,1,1,,1,,,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,3,3,38.781989336013794,0.6463664889335632
