time,current_response_time_percentile_50,current_response_time_percentile_95,current_response_time_average,current_max_response_time,current_min_response_time,current_fail_per_sec,fail_ratio,total_rps,user_count,avg_response_time,current_rps,max_response_time,median_response_time,min_response_time,num_failures,num_requests,custom_cpu_loadgenerator,custom_cpu_redis-cart,custom_cpu_currencyservice,custom_cpu_frontend,custom_cpu_checkoutservice,custom_cpu_paymentservice,custom_cpu_recommendationservice,custom_cpu_productcatalogservice,custom_cpu_shippingservice,custom_cpu_emailservice,custom_cpu_cartservice,custom_cpu_adservice,custom_cpu_coredns,custom_cpu_metrics-server,custom_cpu_local-path-provisioner,custom_cpu_prometheus-grafana,custom_cpu_prometheus-kube-prometheus-operator,custom_cpu_prometheus-kube-state-metrics,custom_monitored_count_coredns,custom_monitored_count_metrics-server,custom_monitored_count_local-path-provisioner,custom_monitored_count_emailservice,custom_monitored_count_paymentservice,custom_monitored_count_loadgenerator,custom_monitored_count_redis-cart,custom_monitored_count_shippingservice,custom_monitored_count_checkoutservice,custom_monitored_count_cartservice,custom_monitored_count_prometheus-grafana,custom_monitored_count_adservice,custom_monitored_count_prometheus-kube-prometheus-operator,custom_monitored_count_prometheus-kube-state-metrics,custom_monitored_count_recommendationservice,custom_monitored_count_currencyservice,custom_monitored_count_frontend,custom_monitored_count_productcatalogservice,custom_kubernetes_coredns_ordered,custom_kubernetes_coredns_ready,custom_kubernetes_metrics-server_ordered,custom_kubernetes_metrics-server_ready,custom_kubernetes_local-path-provisioner_ordered,custom_kubernetes_local-path-provisioner_ready,custom_kubernetes_emailservice_ordered,custom_kubernetes_emailservice_ready,custom_kubernetes_paymentservice_ordered,custom_kubernetes_paymentservice_ready,custom_kubernetes_loadgenerator_ordered,custom_kubernetes_loadgenerator_ready,custom_kubernetes_redis-cart_ordered,custom_kubernetes_redis-cart_ready,custom_kubernetes_shippingservice_ordered,custom_kubernetes_shippingservice_ready,custom_kubernetes_checkoutservice_ordered,custom_kubernetes_checkoutservice_ready,custom_kubernetes_cartservice_ordered,custom_kubernetes_cartservice_ready,custom_kubernetes_prometheus-grafana_ordered,custom_kubernetes_prometheus-grafana_ready,custom_kubernetes_adservice_ordered,custom_kubernetes_adservice_ready,custom_kubernetes_prometheus-kube-prometheus-operator_ordered,custom_kubernetes_prometheus-kube-prometheus-operator_ready,custom_kubernetes_prometheus-kube-state-metrics_ordered,custom_kubernetes_prometheus-kube-state-metrics_ready,custom_kubernetes_recommendationservice_ordered,custom_kubernetes_recommendationservice_ready,custom_kubernetes_currencyservice_ordered,custom_kubernetes_currencyservice_ready,custom_kubernetes_frontend_ordered,custom_kubernetes_frontend_ready,custom_kubernetes_productcatalogservice_ordered,custom_kubernetes_productcatalogservice_ready,elapsed,elapsed_min
1702797673.8695836,46.0,190.0,65,230,20,0.0,0.07571801566579635,10.0,50,360.66097066320225,10.0,2361.0,130.0,20.0,29,383,"[145.2799457388571, 1702797672.283]","[12.333348162430001, 1702797672.283]","[243.86593584274556, 1702797672.283]","[171.36314622430254, 1702797672.283]","[19.134903051406862, 1702797672.283]","[17.978054044626546, 1702797672.283]","[430.9792491636671, 1702797672.283]","[97.8365876066278, 1702797672.283]","[28.500620184444884, 1702797672.283]","[31.17256069627195, 1702797672.283]","[94.2880331709893, 1702797672.283]","[28.064777079615297, 1702797672.283]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,8,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,9,3,10,2,6,2,20.855621099472046,0.34759368499120075
1702797675.090619,46.0,190.0,65,230,20,0.0,0.07571801566579635,10.0,50,360.66097066320225,10.0,2361.0,130.0,20.0,29,383,"[145.2799457388571, 1702797674.472]","[12.333348162430001, 1702797674.472]","[243.86593584274556, 1702797674.472]","[171.36314622430254, 1702797674.472]","[19.134903051406862, 1702797674.472]","[17.978054044626546, 1702797674.472]","[430.9792491636671, 1702797674.472]","[97.8365876066278, 1702797674.472]","[28.500620184444884, 1702797674.472]","[31.17256069627195, 1702797674.472]","[94.2880331709893, 1702797674.472]","[28.064777079615297, 1702797674.472]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,8,8,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,9,3,10,2,6,2,22.076656579971313,0.3679442763328552
1702797677.8349266,63.0,190.0,76,230,20,0.0,0.06791569086651054,10.8,50,330.1883751124133,10.8,2361.0,120.0,20.0,29,427,"[145.2799457388571, 1702797676.288]","[12.333348162430001, 1702797676.288]","[235.13624187127752, 1702797676.288]","[171.36314622430254, 1702797676.288]","[19.134903051406862, 1702797676.288]","[17.978054044626546, 1702797676.288]","[430.9792491636671, 1702797676.288]","[97.8365876066278, 1702797676.288]","[28.500620184444884, 1702797676.288]","[31.17256069627195, 1702797676.288]","[94.2880331709893, 1702797676.288]","[28.064777079615297, 1702797676.288]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,10,9,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,9,3,10,2,6,2,24.820964097976685,0.41368273496627805
1702797678.7387245,63.0,190.0,76,230,20,0.0,0.06791569086651054,10.8,50,330.1883751124133,10.8,2361.0,120.0,20.0,29,427,"[145.2799457388571, 1702797678.251]","[12.333348162430001, 1702797678.251]","[222.2097280156497, 1702797678.251]","[171.36314622430254, 1702797678.251]","[19.134903051406862, 1702797678.251]","[17.978054044626546, 1702797678.251]","[430.9792491636671, 1702797678.251]","[97.8365876066278, 1702797678.251]","[28.500620184444884, 1702797678.251]","[31.17256069627195, 1702797678.251]","[94.2880331709893, 1702797678.251]","[28.064777079615297, 1702797678.251]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,10,9,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,9,3,10,2,6,2,25.724761962890625,0.42874603271484374
1702797680.5949485,47.0,170.0,67,230,21,0.0,0.06209850107066381,10.5,50,306.3157792526885,10.5,2361.0,110.0,20.0,29,467,"[145.2799457388571, 1702797680.261]","[12.895214213050819, 1702797680.261]","[298.47308394076265, 1702797680.261]","[186.43074828270016, 1702797680.261]","[19.134903051406862, 1702797680.261]","[17.978054044626546, 1702797680.261]","[430.9792491636671, 1702797680.261]","[97.8365876066278, 1702797680.261]","[28.500620184444884, 1702797680.261]","[26.72127502706639, 1702797680.261]","[94.2880331709893, 1702797680.261]","[28.064777079615297, 1702797680.261]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,10,9,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,9,4,10,2,6,2,27.58098602294922,0.459683100382487
1702797682.7377412,40.0,140.0,53,200,19,0.0,0.059548254620123205,10.2,50,295.676350868619,10.2,2361.0,99.0,19.0,29,487,"[130.69155805944527, 1702797682.271]","[12.895214213050819, 1702797682.271]","[258.7453202965352, 1702797682.271]","[209.90975632540915, 1702797682.271]","[13.791872765218905, 1702797682.271]","[11.314004192837551, 1702797682.271]","[384.13881302877905, 1702797682.271]","[109.55863222306553, 1702797682.271]","[28.235648018726362, 1702797682.271]","[26.72127502706639, 1702797682.271]","[100.4108916798876, 1702797682.271]","[30.635302038835917, 1702797682.271]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,10,9,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,9,4,10,2,6,2,29.72377872467041,0.4953963120778402
1702797685.2037122,40.0,140.0,53,200,19,0.0,0.059548254620123205,10.2,50,295.676350868619,10.2,2361.0,99.0,19.0,29,487,"[130.69155805944527, 1702797684.351]","[12.895214213050819, 1702797684.351]","[253.45328367056408, 1702797684.351]","[209.90975632540915, 1702797684.351]","[13.791872765218905, 1702797684.351]","[11.314004192837551, 1702797684.351]","[332.4388810907154, 1702797684.351]","[109.55863222306553, 1702797684.351]","[28.235648018726362, 1702797684.351]","[26.72127502706639, 1702797684.351]","[100.4108916798876, 1702797684.351]","[30.635302038835917, 1702797684.351]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,10,9,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,9,4,10,2,6,2,32.1897497177124,0.5364958286285401
1702797688.2004802,51.0,230.0,83,300,19,0.0,0.054003724394785846,10.6,50,278.99377404288214,10.6,2361.0,100.0,19.0,29,537,"[130.69155805944527, 1702797686.361]","[12.895214213050819, 1702797686.361]","[209.58514532174743, 1702797686.361]","[209.90975632540915, 1702797686.361]","[13.791872765218905, 1702797686.361]","[11.314004192837551, 1702797686.361]","[260.2120496857445, 1702797686.361]","[109.55863222306553, 1702797686.361]","[28.235648018726362, 1702797686.361]","[26.72127502706639, 1702797686.361]","[100.4108916798876, 1702797686.361]","[30.635302038835917, 1702797686.361]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,10,9,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,9,4,10,4,6,2,35.1865177154541,0.586441961924235
1702797689.3711748,51.0,230.0,83,300,19,0.0,0.054003724394785846,10.6,50,278.99377404288214,10.6,2361.0,100.0,19.0,29,537,"[130.69155805944527, 1702797688.288]","[10.02628025373703, 1702797688.288]","[213.4422153947207, 1702797688.288]","[203.40843065242802, 1702797688.288]","[13.791872765218905, 1702797688.288]","[11.314004192837551, 1702797688.288]","[260.2120496857445, 1702797688.288]","[109.55863222306553, 1702797688.288]","[28.235648018726362, 1702797688.288]","[23.11057439292505, 1702797688.288]","[100.4108916798876, 1702797688.288]","[30.635302038835917, 1702797688.288]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,10,9,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,9,4,10,4,6,2,36.35721230506897,0.6059535384178162
1702797691.426747,73.0,230.0,94,300,18,0.0,0.05,10.8,50,264.04368516899734,10.8,2361.0,94.0,18.0,29,580,"[130.69155805944527, 1702797690.364]","[10.02628025373703, 1702797690.364]","[210.94398794151596, 1702797690.364]","[203.40843065242802, 1702797690.364]","[13.791872765218905, 1702797690.364]","[11.314004192837551, 1702797690.364]","[253.84989076520492, 1702797690.364]","[109.55863222306553, 1702797690.364]","[28.235648018726362, 1702797690.364]","[23.11057439292505, 1702797690.364]","[100.4108916798876, 1702797690.364]","[30.635302038835917, 1702797690.364]",,,,,,,,,,1,1,1,1,1,1,3,,1,,,10,9,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,9,6,10,4,6,2,38.412784576416016,0.6402130762736002
