time,current_response_time_percentile_50,current_response_time_percentile_95,current_response_time_average,current_max_response_time,current_min_response_time,current_fail_per_sec,fail_ratio,total_rps,user_count,avg_response_time,current_rps,max_response_time,median_response_time,min_response_time,num_failures,num_requests,custom_cpu_loadgenerator,custom_cpu_redis-cart,custom_cpu_checkoutservice,custom_cpu_recommendationservice,custom_cpu_paymentservice,custom_cpu_currencyservice,custom_cpu_emailservice,custom_cpu_productcatalogservice,custom_cpu_frontend,custom_cpu_cartservice,custom_cpu_shippingservice,custom_cpu_adservice,custom_cpu_coredns,custom_cpu_metrics-server,custom_cpu_local-path-provisioner,custom_cpu_prometheus-kube-prometheus-operator,custom_cpu_prometheus-kube-state-metrics,custom_cpu_prometheus-grafana,custom_monitored_count_coredns,custom_monitored_count_metrics-server,custom_monitored_count_local-path-provisioner,custom_monitored_count_loadgenerator,custom_monitored_count_prometheus-kube-prometheus-operator,custom_monitored_count_prometheus-kube-state-metrics,custom_monitored_count_prometheus-grafana,custom_monitored_count_redis-cart,custom_monitored_count_checkoutservice,custom_monitored_count_shippingservice,custom_monitored_count_cartservice,custom_monitored_count_adservice,custom_monitored_count_paymentservice,custom_monitored_count_emailservice,custom_monitored_count_recommendationservice,custom_monitored_count_frontend,custom_monitored_count_productcatalogservice,custom_monitored_count_currencyservice,custom_kubernetes_coredns_ordered,custom_kubernetes_coredns_ready,custom_kubernetes_metrics-server_ordered,custom_kubernetes_metrics-server_ready,custom_kubernetes_local-path-provisioner_ordered,custom_kubernetes_local-path-provisioner_ready,custom_kubernetes_loadgenerator_ordered,custom_kubernetes_loadgenerator_ready,custom_kubernetes_prometheus-kube-prometheus-operator_ordered,custom_kubernetes_prometheus-kube-prometheus-operator_ready,custom_kubernetes_prometheus-kube-state-metrics_ordered,custom_kubernetes_prometheus-kube-state-metrics_ready,custom_kubernetes_prometheus-grafana_ordered,custom_kubernetes_prometheus-grafana_ready,custom_kubernetes_redis-cart_ordered,custom_kubernetes_redis-cart_ready,custom_kubernetes_checkoutservice_ordered,custom_kubernetes_checkoutservice_ready,custom_kubernetes_shippingservice_ordered,custom_kubernetes_shippingservice_ready,custom_kubernetes_cartservice_ordered,custom_kubernetes_cartservice_ready,custom_kubernetes_adservice_ordered,custom_kubernetes_adservice_ready,custom_kubernetes_paymentservice_ordered,custom_kubernetes_paymentservice_ready,custom_kubernetes_emailservice_ordered,custom_kubernetes_emailservice_ready,custom_kubernetes_recommendationservice_ordered,custom_kubernetes_recommendationservice_ready,custom_kubernetes_frontend_ordered,custom_kubernetes_frontend_ready,custom_kubernetes_productcatalogservice_ordered,custom_kubernetes_productcatalogservice_ready,custom_kubernetes_currencyservice_ordered,custom_kubernetes_currencyservice_ready,elapsed,elapsed_min
1702811659.391454,400.0,930.0,429,1000,64,0.0,0.004329004329004329,10.1,50,757.8811080935078,10.1,4002.0,350.0,42.0,2,462,"[150.59821394652232, 1702811657.837]","[12.784089018992354, 1702811657.837]","[26.282541161789904, 1702811657.837]","[97.35600789933022, 1702811657.837]","[59.14802869991984, 1702811657.837]","[346.37055150936436, 1702811657.837]","[110.3334162109228, 1702811657.837]","[145.61685103898753, 1702811657.837]","[222.9400624252534, 1702811657.837]","[375.36163293673286, 1702811657.837]","[31.22170356097868, 1702811657.837]","[457.60619416230634, 1702811657.837]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,4,2,23.336422204971313,0.3889403700828552
1702811661.638616,560.0,1100.0,592,1400,160,0.0,0.003992015968063872,10.1,50,758.8704445035343,10.1,4002.0,370.0,42.0,2,501,"[150.59821394652232, 1702811659.938]","[12.784089018992354, 1702811659.938]","[26.282541161789904, 1702811659.938]","[97.35600789933022, 1702811659.938]","[59.14802869991984, 1702811659.938]","[346.37055150936436, 1702811659.938]","[110.3334162109228, 1702811659.938]","[145.61685103898753, 1702811659.938]","[222.9400624252534, 1702811659.938]","[375.36163293673286, 1702811659.938]","[31.22170356097868, 1702811659.938]","[457.60619416230634, 1702811659.938]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,4,2,25.583584308624268,0.4263930718104045
1702811662.5146992,560.0,1100.0,592,1400,160,0.0,0.003992015968063872,10.1,50,758.8704445035343,10.1,4002.0,370.0,42.0,2,501,"[150.59821394652232, 1702811661.756]","[12.784089018992354, 1702811661.756]","[26.282541161789904, 1702811661.756]","[97.35600789933022, 1702811661.756]","[59.14802869991984, 1702811661.756]","[337.4632261260594, 1702811661.756]","[110.3334162109228, 1702811661.756]","[145.61685103898753, 1702811661.756]","[222.9400624252534, 1702811661.756]","[375.36163293673286, 1702811661.756]","[31.22170356097868, 1702811661.756]","[457.60619416230634, 1702811661.756]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,1,1,1,4,3,26.459667444229126,0.44099445740381876
1702811664.1110392,610.0,1300.0,654,1400,170,0.0,0.003683241252302026,9.7,50,749.0068354569809,9.7,4002.0,390.0,42.0,2,543,"[163.71423417123933, 1702811663.808]","[13.36166383672667, 1702811663.808]","[26.282541161789904, 1702811663.808]","[105.31479934604315, 1702811663.808]","[63.65749171450048, 1702811663.808]","[374.6493986233251, 1702811663.808]","[114.30409797489088, 1702811663.808]","[145.61685103898753, 1702811663.808]","[195.06802423130554, 1702811663.808]","[348.1334179055762, 1702811663.808]","[33.11999323663025, 1702811663.808]","[415.46463940907495, 1702811663.808]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,3,1,1,1,4,4,28.056007385253906,0.4676001230875651
1702811666.073235,610.0,1300.0,654,1400,170,0.0,0.003683241252302026,9.7,50,749.0068354569809,9.7,4002.0,390.0,42.0,2,543,"[163.71423417123933, 1702811665.746]","[13.36166383672667, 1702811665.746]","[26.282541161789904, 1702811665.746]","[105.31479934604315, 1702811665.746]","[63.65749171450048, 1702811665.746]","[374.6493986233251, 1702811665.746]","[114.30409797489088, 1702811665.746]","[145.61685103898753, 1702811665.746]","[195.06802423130554, 1702811665.746]","[112.9597949000773, 1702811665.746]","[33.11999323663025, 1702811665.746]","[415.46463940907495, 1702811665.746]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,3,1,1,1,4,4,30.018203258514404,0.5003033876419067
1702811668.3350565,350.0,1100.0,417,1400,34,0.0,0.003389830508474576,10.1,50,703.4217571545199,10.1,4002.0,360.0,34.0,2,590,"[163.71423417123933, 1702811667.835]","[13.36166383672667, 1702811667.835]","[26.282541161789904, 1702811667.835]","[105.31479934604315, 1702811667.835]","[63.65749171450048, 1702811667.835]","[369.1614697115967, 1702811667.835]","[114.30409797489088, 1702811667.835]","[145.61685103898753, 1702811667.835]","[195.06802423130554, 1702811667.835]","[112.9597949000773, 1702811667.835]","[33.11999323663025, 1702811667.835]","[415.46463940907495, 1702811667.835]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,2,3,1,1,1,4,4,32.280024766922,0.5380004127820333
1702811671.2149305,350.0,1100.0,417,1400,34,0.0,0.003389830508474576,10.1,50,703.4217571545199,10.1,4002.0,360.0,34.0,2,590,"[163.71423417123933, 1702811670.239]","[13.36166383672667, 1702811670.239]","[26.282541161789904, 1702811670.239]","[101.30538583623027, 1702811670.239]","[18.160891423096885, 1702811670.239]","[267.0791968656618, 1702811670.239]","[30.743805887831748, 1702811670.239]","[145.61685103898753, 1702811670.239]","[195.06802423130554, 1702811670.239]","[112.9597949000773, 1702811670.239]","[33.11999323663025, 1702811670.239]","[165.01746966301414, 1702811670.239]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,3,2,4,1,3,1,6,4,35.15989875793457,0.5859983126322429
1702811672.3569536,350.0,1100.0,431,1400,33,0.0,0.0031496062992125984,10.1,50,704.5574612235815,10.1,4002.0,380.0,33.0,2,635,"[163.71423417123933, 1702811671.789]","[13.36166383672667, 1702811671.789]","[32.01716488774395, 1702811671.789]","[84.68156915065431, 1702811671.789]","[161.12251316716183, 1702811671.789]","[199.88483303098255, 1702811671.789]","[165.7962000466054, 1702811671.789]","[145.61685103898753, 1702811671.789]","[195.06802423130554, 1702811671.789]","[89.27750242848428, 1702811671.789]","[31.623383151770046, 1702811671.789]","[319.89694876404485, 1702811671.789]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,3,2,4,1,3,1,6,4,36.30192184448242,0.6050320307413737
1702811674.4065063,350.0,1100.0,431,1400,33,0.0,0.0031496062992125984,10.1,50,704.5574612235815,10.1,4002.0,380.0,33.0,2,635,"[163.71423417123933, 1702811673.739]","[12.51196840829274, 1702811673.739]","[32.01716488774395, 1702811673.739]","[376.4427489295319, 1702811673.739]","[162.9809349205209, 1702811673.739]","[199.88483303098255, 1702811673.739]","[165.7962000466054, 1702811673.739]","[97.68573322348416, 1702811673.739]","[221.6195411975139, 1702811673.739]","[324.73504628372854, 1702811673.739]","[31.623383151770046, 1702811673.739]","[319.89694876404485, 1702811673.739]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,3,2,4,3,3,1,6,4,38.35147452354431,0.6391912420590719
1702811676.9792879,220.0,1100.0,391,1400,33,0.0,0.002911208151382824,11.7,50,667.1451223142997,11.7,4002.0,360.0,33.0,2,687,"[163.71423417123933, 1702811675.747]","[12.51196840829274, 1702811675.747]","[32.01716488774395, 1702811675.747]","[376.4427489295319, 1702811675.747]","[162.9809349205209, 1702811675.747]","[199.88483303098255, 1702811675.747]","[165.7962000466054, 1702811675.747]","[97.68573322348416, 1702811675.747]","[221.6195411975139, 1702811675.747]","[324.73504628372854, 1702811675.747]","[31.623383151770046, 1702811675.747]","[319.89694876404485, 1702811675.747]",,,,,,,,,,1,,,,1,1,1,11,25,2,3,3,4,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,3,2,4,3,3,1,6,4,40.92425608634949,0.6820709347724915
